drug_name,smiles,toxtype,canonical_smiles
Naftidrofuryl Oxalate,CCN(CC)CCOC(=O)[C@@H](Cc1cccc2ccccc12)C[C@@H]1CCCO1,cardiovascular,CCN(CC)CCOC(=O)[C@@H](Cc1cccc2ccccc12)C[C@@H]1CCCO1
Ciprofibrate,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,muscular,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O
Ketoconazole,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,hepatic,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
Acitretin,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,reproductive,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
Isotretinoin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1,reproductive,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1
Bromocriptine Mesylate,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CS(=O)(=O)O,neurological,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
Ethinylestradiol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,multiple,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
Megestrol Acetate,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,carcinogenicity,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
Sulfadimethoxine,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,dermatological,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1
Sulfametoxydiazine,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,hematological,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1
Celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,cardiovascular,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
Bicalutamide,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,cardiovascular,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
Bufexamac,CCCCOc1ccc(CC(=O)NO)cc1,multiple,CCCCOc1ccc(CC(=O)NO)cc1
Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,multiple; gastrointestinal,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
Carisoprodol,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,multiple,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
Febarbamate,CCCCOCC(CN1C(=O)NC(=O)C(CC)(c2ccccc2)C1=O)OC(N)=O,hepatic,CCCCOCC(CN1C(=O)NC(=O)C(CC)(c2ccccc2)C1=O)OC(N)=O
Benzbromarone,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,hepatic,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
Cinchophen,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,hepatic,O=C(O)c1cc(-c2ccccc2)nc2ccccc12
Acetylsalicylic Acid,CC(=O)Oc1ccccc1C(=O)O,"hepatic, neurological",CC(=O)Oc1ccccc1C(=O)O
Phenobarbital,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,multiple; dermatological,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
Felbamate,NC(=O)OCC(COC(N)=O)c1ccccc1,neurological,NC(=O)OCC(COC(N)=O)c1ccccc1
Budipine,CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,cardiovascular,CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1
Veralipride,C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,cardiovascular,C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC
Clorazepate,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,multiple,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
Camazepam,CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,multiple,CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O
Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,multiple,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
Amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,multiple,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
Aprobarbital,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,respiratory,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
Secobarbital,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,multiple,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
Vinbarbital,CC/C=C(\C)C1(CC)C(=O)NC(=O)NC1=O,respiratory,CC/C=C(\C)C1(CC)C(=O)NC(=O)NC1=O
Cyclobarbital,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,multiple,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
Hexobarbital,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,respiratory,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
Flunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,multiple,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
Temazepam,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,respiratory,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
Pyrithyldione,CCC1(CC)C(=O)C=CNC1=O,multiple,CCC1(CC)C(=O)C=CNC1=O
Dibenzepin Hydrochloride,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21.Cl,carcinogenicity,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21
Tranylcypromine,NC1CC1c1ccccc1,cardiovascular,NC1CC1c1ccccc1
Mianserin,CN1CCN2c3ccccc3Cc3ccccc3C2C1,hematological,CN1CCN2c3ccccc3Cc3ccccc3C2C1
Mepazine Hydrochloride,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,neurological,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
Medifoxamine,CN(C)CC(Oc1ccccc1)Oc1ccccc1,hepatic,CN(C)CC(Oc1ccccc1)Oc1ccccc1
Methamphetamine Hydrochloride,CN[C@@H](C)Cc1ccccc1.Cl,multiple,CN[C@@H](C)Cc1ccccc1
Buprenorphine,CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,respiratory,CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5
Tilbroquinol,Cc1cc(Br)c(O)c2ncccc12,hepatic,Cc1cc(Br)c(O)c2ncccc12
Orciprenaline,CC(C)NCC(O)c1cc(O)cc(O)c1,cardiovascular,CC(C)NCC(O)c1cc(O)cc(O)c1
Oxolamine Citrate,CCN(CC)CCc1nc(-c2ccccc2)no1,neurological,CCN(CC)CCc1nc(-c2ccccc2)no1
Zipeprol,COC(CN1CCN(CC(O)C(OC)c2ccccc2)CC1)c1ccccc1,multiple,COC(CN1CCN(CC(O)C(OC)c2ccccc2)CC1)c1ccccc1
Doxylamine,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,reproductive,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
Nikethamide,CCN(CC)C(=O)c1cccnc1,neurological,CCN(CC)C(=O)c1cccnc1
Gentamicin,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](C(C)N)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O.CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,neurological,CNC(C)[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1
Metrizamide,CC(=O)Nc1c(I)c(C(=O)N[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2O)c(I)c(N(C)C(C)=O)c1I,neurological,CC(=O)Nc1c(I)c(C(=O)N[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2O)c(I)c(N(C)C(C)=O)c1I
Iophendylate,CCOC(=O)CCCCCCCCC(C)c1ccc(I)cc1,multiple,CCOC(=O)CCCCCCCCC(C)c1ccc(I)cc1
Canthaxanthin,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1=O,opthalmic,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1=O
Aminorex Fumarate,NC1=NCC(c2ccccc2)O1,"respiratory, cardiovascular",NC1=NCC(c2ccccc2)O1
Adenosine Phosphate,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,cardiovascular,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
Torcetrapib,CCOC(=O)N1c2ccc(C(F)(F)F)cc2[C@@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(=O)OC)C[C@H]1CC,cardiovascular,CCOC(=O)N1c2ccc(C(F)(F)F)cc2[C@@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(=O)OC)C[C@H]1CC
Suprifen,CNC(C)C(O)c1ccc(O)cc1,renal,CNC(C)C(O)c1ccc(O)cc1
Beclobrate,CCOC(=O)C(C)(CC)Oc1ccc(Cc2ccc(Cl)cc2)cc1,hepatic,CCOC(=O)C(C)(CC)Oc1ccc(Cc2ccc(Cl)cc2)cc1
Pyrovalerone,CCCC(C(=O)c1ccc(C)cc1)N1CCCC1,hematological; multiple,CCCC(C(=O)c1ccc(C)cc1)N1CCCC1
Chlornaphazine,ClCCN(CCCl)c1ccc2ccccc2c1,carcinogenicity,ClCCN(CCCl)c1ccc2ccccc2c1
Timonacic,O=C(O)C1CSCN1,multiple,O=C(O)C1CSCN1
Diiododiethyltin,I[Sn](CC)(CC)I,neurological,CC[Sn](I)(I)CC
Pioglitazone,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,carcinogenicity,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
Ribavirin,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,respiratory,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
Carmofur,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,neurological,CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O
Cephaloridine,O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12,renal,O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CS[C@H]12
Etifoxine,CCNC1=Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1,hepatic,CCNC1=Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1
Floctafenine,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12,dermatological,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2c(C(F)(F)F)cccc12
Flubendazole,COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1,reproductive,COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1
Flumequine,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,carcinogenicity,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23
Flurothyl,FC(F)(F)COCC(F)(F)F,neurological,FC(F)(F)COCC(F)(F)F
Fominoben,CN(CC(=O)N1CCOCC1)Cc1c(Cl)cccc1NC(=O)c1ccccc1,reproductive,CN(CC(=O)N1CCOCC1)Cc1c(Cl)cccc1NC(=O)c1ccccc1
Hexestrol,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,carcinogenicity,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
Indoramin,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,cardiovascular,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1
Iodamide,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,neurological,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
Olaparib,FC1=CC=C(CC2=NNC(=O)C3=CC=CC=C23)C=C1C(=O)N1CCN(CC1)C(=O)C1CC1,,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
Niraparib,NC(=O)C1=CC=CC2=CN(N=C12)C1=CC=C(C=C1)[C@@H]1CCCNC1,,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12
Lamictal,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,美国食品和药物管理局 (FDA) 对研究结果的审查表明，服用癫痫和精神健康药物拉莫三嗪 (Lamictal) 的心脏病患者发生心律失常（称为心律失常）的风险可能增加。,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
Febuxostat,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,美国食品和药物管理局 (FDA) 提醒公众，一项安全性临床试验的初步结果显示，与另一种名为别嘌醇的痛风药物相比，非布索坦 (Uloric) 可增加心脏相关死亡的风险。,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O
Ziprasidone,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,美国食品和药物管理局 (FDA) 警告说，抗精神病药物齐拉西酮（以商品名 Geodon 及其仿制药销售）与一种罕见但严重的皮肤反应有关，这种反应可能会发展到影响身体的其他部位。DRESS 可能从皮疹开始，然后扩散到身体的各个部位。它可能包括发烧、淋巴结肿大以及肝脏、肾脏、肺、心脏或胰腺等器官的炎症。DRESS 还会导致血液中一种叫做嗜酸性粒细胞的特定类型的白细胞数量高于正常水平。着装会导致死亡。,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,美国食品和药物管理局 (FDA) 警告公众，阿奇霉素（Zithromax 或 Zmax）可引起心脏电活动的异常变化，可能导致潜在致命的不规则心律。虽然几种大环内酯类抗生素具有促心律失常作用并与心源性猝死风险增加相关，但阿奇霉素被认为具有最小的心脏毒性。然而，已发表的心律失常报告表明，阿奇霉素可能会增加心血管死亡的风险。(PMID: 22591294),CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
Copiktra,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,FDA 警告癌症药物 Copiktra (duvelisib) 可能增加死亡风险和严重副作用,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1
umbralisib,CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F,出于安全考虑，美国食品和药物管理局 (FDA) 已撤回对抗癌药物 Ukoniq (umbralisib) 的批准。Ukoniq 被批准用于治疗两种特定类型的淋巴瘤：边缘区淋巴瘤（MZL）和滤泡性淋巴瘤（FL）。UNITY-CLL 临床试验的更新结果继续显示接受 Ukoniq 的患者死亡风险可能增加。因此，我们确定使用 Ukoniq 治疗的风险大于其益处。,CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F
Donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
Semagacestat,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCc2ccccc21,,CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCc2ccccc21
Zanubrutinib,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1,,C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1
Ifenprodil,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1
Xanomeline,CCCCCCOc1nsnc1C1=CCCN(C)C1,,CCCCCCOc1nsnc1C1=CCCN(C)C1
Abarelix,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O
Ethchlorvynol,CCC(O)(\C=C\Cl)C#C,,C#CC(O)(/C=C/Cl)CC
Methyclothiazide,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
Chlorotrianisene,COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
Ethoxzolamide,CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O,,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
Thiethylperazine,CCSC1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1,,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2
Dydrogesterone,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C,,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C
Dexrazoxane,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
Tacrine,NC1=C2CCCCC2=NC2=CC=CC=C12,,Nc1c2c(nc3ccccc13)CCCC2
Acetohexamide,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
Metocurine iodide,[I-].[I-].[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CC[N+]1(C)C)C2=C6)=C(OC)C=C5)=CC(OC)=C4OC)C=C3,,COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3
Lindane,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,Neurotoxicity,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
Loracarbef,N[C@@H](C(=O)N[C@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1,,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1
Metharbital,CCC1(CC)C(=O)NC(=O)N(C)C1=O,,CCC1(CC)C(=O)NC(=O)N(C)C1=O
Hexylcaine,CC(CNC1CCCCC1)OC(=O)C1=CC=CC=C1,,CC(CNC1CCCCC1)OC(=O)c1ccccc1
Tridihexethyl,CC[N+](CC)(CC)CCC(O)(C1CCCCC1)C1=CC=CC=C1,,CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1
Bentiromide,OC(=O)C1=CC=C(NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)C2=CC=CC=C2)C=C1,,O=C(O)c1ccc(NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1
Mephenytoin,CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1,,CCC1(c2ccccc2)NC(=O)N(C)C1=O
Chlormerodrin,COC(CNC(N)=O)C[Hg]Cl,,COC(CNC(N)=O)C[Hg]Cl
Fenfluramine,CCNC(C)CC1=CC=CC(=C1)C(F)(F)F,Cardiotoxicity,CCNC(C)Cc1cccc(C(F)(F)F)c1
Sulfametopyrazine,COC1=NC=CN=C1NS(=O)(=O)C1=CC=C(N)C=C1,,COc1nccnc1NS(=O)(=O)c1ccc(N)cc1
Isoflurophate,CC(C)OP(F)(=O)OC(C)C,,CC(C)OP(=O)(F)OC(C)C
Moricizine,CCOC(=O)NC1=CC2=C(SC3=CC=CC=C3N2C(=O)CCN2CCOCC2)C=C1,,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2
Hetacillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2N1C(=O)[C@H](NC1(C)C)C1=CC=CC=C1)C(O)=O,,CC1(C)S[C@@H]2[C@H](N3C(=O)[C@@H](c4ccccc4)NC3(C)C)C(=O)N2[C@H]1C(=O)O
Zileuton,CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1,,CC(c1cc2ccccc2s1)N(O)C(N)=O
Benzquinamide,CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O,,CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O
Hydroflumethiazide,NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1C(F)(F)F,,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O
Roxithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O
Haloprogin,ClC1=CC(Cl)=C(Cl)C=C1OCC#CI,,Clc1cc(Cl)c(OCC#CI)cc1Cl
Halazepam,FC(F)(F)CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
Carprofen,CC(C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1,,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12
Cinoxacin,CCN1N=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12,,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
Ranitidine,CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O,,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
Alprenolol,CC(C)NCC(O)COC1=CC=CC=C1CC=C,,C=CCc1ccccc1OCC(O)CNC(C)C
